Ingredients,Meal Name,Size,ID,fdcId,Brand,Energy,Protein,"Fiber, total dietary","Folate, DFE","Calcium, Ca","Carbohydrate, by difference","Iron, Fe","Magnesium, Mg",Niacin,"Phosphorus, P","Potassium, K",Riboflavin,Thiamin,"Vitamin A, RAE",Vitamin B-12,Vitamin B-6,"Vitamin C, total ascorbic acid",Vitamin E (alpha-tocopherol),Vitamin K (phylloquinone),"Zinc, Zn","Sodium, Na",Price
Asparagus,Mediterranean,100 g/1 hectogram,11011,1956233,PERO FAMILY FARMS ,18.00,2.35,2.40,52.00,24.00,3.53,2.12,14.00,0.98,52.00,202.00,0.141,0.143,38,0,0.091,5.9,1.13,41.6,0.54,2,1.88
Avacado Chunks,Mediterranean,100 g/1 hectogram,9037,1102652,Survey (FNDDS),160.00,2.00,6.70,81.00,12.00,8.53,0.55,29.00,1.74,52.00,485.00,0.13,0.067,7,0,0.257,10,2.07,21,0.64,7,2.5
Flavored Brown Rice,Mediterranean,100 g/1 hectogram,20040,1102470,Survey (FNDDS),106.00,2.76,1.20,10.00,7.00,19.30,0.39,37.00,1.68,89.00,81.00,0.04,0.071,16,0,0.106,0,0.35,2.4,0.99,293,6
Carrots,Mediterranean,100 g/1 hectogram,11124,1871703, FULL CIRCLE MARKET,38.00,1.28,2.60,19.00,38.00,8.97,0.26,12.00,0.98,35.00,321.00,0.058,0.066,835,0,0.138,6.4,0.66,13.2,0.24,71,1
Chicken,Mediterranean,100 g/1 hectogram,5062,2090362,"Wegmans Food Markets, Inc.",188.00,24.70,0.00,8.00,0.00,1.18,0.42,23.00,7.57,236.00,278.00,0.181,0.07,8,0.36,0.246,0,0,0,1.6,353,8
Chickpeas,Mediterranean,100 g/1 hectogram,16057,1925585,13 Foods LLC,175.00,8.75,13.80,155.00,50.00,27.50,2.70,60.00,0.46,156.00,368.00,0.056,0.102,1,0,0.123,1.5,1.09,11.4,1.5,11,2
Greek Yogurt,Mediterranean,100 g/1 hectogram,1256,468388,Fresh & Easy,73.00,8.00,0.00,7.00,100.00,10.00,0.00,11.00,0.21,136.00,119.00,0.281,0.022,1,0.7,0.064,0,0.01,0,0.53,33,6
Pear,Mediterranean,100 g/1 hectogram,9252,1102682,Survey (FNDDS),57.00,0.36,3.10,7.00,9.00,15.20,0.18,7.00,0.16,12.00,116.00,0.026,0.012,1,0,0.029,4.3,0.12,4.4,0.1,1,2
White Potatoes,Mediterranean,100 g/1 hectogram,11362,1102879,Survey (FNDDS),125.00,1.87,1.40,9.00,5.00,20.40,0.34,24.00,1.32,48.00,372.00,0.021,0.1,18,0,0.312,12.1,0.52,4.1,0.28,167,3
Raspberries,Mediterranean,100 g/1 hectogram,9302,1102708,Survey (FNDDS),52.00,1.20,6.50,21.00,25.00,11.90,0.69,22.00,0.60,29.00,151.00,0.038,0.032,2,0,0.055,26.2,0.87,7.8,0.42,1,7
