,,,,,,,,,,,,,,,,,,,,,,,,,,
Ingredients,Meal Name,Size,ID,fdcId,Brand,Energy,Protein,"Fiber, total dietary","Folate, DFE","Calcium, Ca","Carbohydrate, by difference","Iron, Fe","Magnesium, Mg",Niacin,"Phosphorus, P","Potassium, K",Riboflavin,Thiamin,"Vitamin A, RAE",Vitamin B-12,Vitamin B-6,"Vitamin C, total ascorbic acid",Vitamin E (alpha-tocopherol),Vitamin K (phylloquinone),"Zinc, Zn","Sodium, Na"
Asparagus,Mediterranean,100 g/1 hectogram,11011,1956233,PERO FAMILY FARMS ,18 kcal,2.35 g,2.4 g,52 µg,24 mg,3.53 g,2.12 mg,14 mg,0.978 mg,52 mg,202 mg,0.141 mg,0.143 mg,38 µg,0 µg,0.091 mg,5.9 mg,1.13 mg,41.6 µg,0.54 mg,2 mg
Avacado Chunks,Mediterranean,100 g/1 hectogram,9037,1102652,Survey (FNDDS),160 kcal,2 g,6.7 g,81 µg,12 mg,8.53 g,0.55 mg,29 mg,1.74 mg,52 mg,485 mg,0.13 mg,0.067 mg,7 µg,0 µg,0.257 mg,10 mg,2.07 mg,21 µg,0.64 mg,7 mg
Flavored Brown Rice,Mediterranean,100 g/1 hectogram,20040,1102470,Survey (FNDDS),106 kcal,2.76 g,1.2 g,10 µg,7 mg,19.3 g,0.39 mg,37 mg,1.68 mg,89 mg,81 mg,0.04 mg,0.071 mg,16 µg,0 µg,0.106 mg,0 mg,0.35 mg,2.4 µg,0.99 mg,293 mg
Carrots,Mediterranean,100 g/1 hectogram,11124,1871703, FULL CIRCLE MARKET,38 kcal,1.28 g,2.6 g,19 µg,38 mg,8.97 g,0.26 mg,12 mg,0.983 mg,35 mg,321 mg,0.058 mg,0.066 mg,835 µg,0 µg,0.138 mg,6.4 mg,0.66 mg,13.2 µg,0.24 mg,71 mg
Chicken,Mediterranean,100 g/1 hectogram,5062,2090362,"Wegmans Food Markets, Inc.",188 kcal,24.7 g,0 g,8 µg,0 mg,1.18 g,0.42 mg,23 mg,7.57 mg,236 mg,278 mg,0.181 mg,0.07 mg,8 µg,0.36 µg,0.246 mg,0 mg,0 mg,0 µg,1.6 mg,353 mg
Chickpeas,Mediterranean,100 g/1 hectogram,16057,1925585,13 Foods LLC,175 kcal,8.75 g,13.8 g,155 µg,50 mg,27.5 g,2.7 mg,60 mg,0.464 mg,156 mg,368 mg,0.056 mg,0.102,1 µg,0 µg,0.123 mg,1.5 mg,1.09 mg,11.4 µg,1.5 mg,11 mg
Greek Yogurt,Mediterranean,100 g/1 hectogram,1256,468388,Fresh & Easy,73 kcal,8 g,0  g,7 µg,100 mg,10 g,0 mg,11 mg,0.211 mg,136 mg,119 mg,0.281 mg,0.022 mg,1 µg,0.7 µg,0.064 mg,0 mg,0.01 mg,0 µg,0.53 mg,33 mg
Pear,Mediterranean,100 g/1 hectogram,9252,1102682,Survey (FNDDS),57 kcal,0.36 g,3.1 g,7 µg,9 mg,15.2 g,0.18 mg,7 mg,0.161 mg,12 mg,116 mg,0.026 mg,0.012 mg,1 µg,0 µg,0.029 mg,4.3 mg,0.12 mg,4.4 µg,0.1 mg,1 mg
White Potatoes,Mediterranean,100 g/1 hectogram,11362,1102879,Survey (FNDDS),125 kcal,1.87 g,1.4 g,9 µg,5 mg,20.4 g,0.34 mg,24 mg,1.32 mg,48 mg,372 mg,0.021 mg,0.1 mg,18 µg,0 µg,0.312 mg,12.1 mg,0.52 mg,4.1 µg,0.28 mg,167 mg
Raspberries,Mediterranean,100 g/1 hectogram,9302,1102708,Survey (FNDDS),52 kcal,1.2 g,6.5 g,21 µg,25 mg,11.9 g,0.69 mg,22 mg,0.598 mg,29 mg,151 mg,0.038 mg,0.032 mg,2 µg,0 µg,0.055 mg,26.2 mg,0.87 mg,7.8 µg,0.42 mg,1 mg
Salmon,Mediterranean,100 g/1 hectogram,15076,1098977,Survey (FNDDS),160 kcal,25.8 g,0 g,4 µg,9 mg,0 g,0.48 mg,31 mg,8.55 mg,295 mg,391 mg,0.119 mg,0.08 mg,35 µg,4.44 µg,0.615 mg,0 mg,0.5 mg,0.5 µg,0.49 mg,407 mg
Strawberries,Mediterranean,100 g/1 hectogram,9316,1102710,Survey (FNDDS),32 kcal,0.67 g,2 g,24 µg,16 mg,7.68 g,0.41 mg,13 mg,0.386 mg,24 mg,153 mg,0.022 mg,0.024 mg,1 µg,0 µg,0.047 mg,58.8 mg,0.29 mg,2.2 µg,0.14 mg,1 mg
Unsalted Almonds,Mediterranean,100 g/1 hectogram,12061,42101130,Survey (FNDDS),607 kcal,20.3 g,10.6 g,53 µg,260 mg,20.4 g,3.62 mg,271 mg,3.53 mg,457 mg,692 mg,1.16 mg,0.075 mg,0 µg,0 µg,0.132 mg,0 mg,23.5 mg,3.5 µg,3.21 mg,3 mg
Walnuts,Mediterranean,100 g/1 hectogram,12155,42116000,Survey (FNDDS),654 kcal,15.2 g,6.7 g,98 µg,98 mg,13.7 g,2.91 g,158 mg,1.12 mg,346 mg,441 mg,0.15 mg,0.341 mg,1 µg,0 µg,0.537 mg,1.3 mg,0.7 mg,2.7 µg,3.09 mg,2 mg
White Beans,Mediterranean,100 g/1 hectogram,16051,1100368,Survey (FNDDS),187 kcal,9.04 g,5.9 g,72 µg,84 mg,23.3 g,3.45 mg,59 mg,0.124 mg,105 mg,521 mg,0.041 mg,0.104 mg,0 µg,0 µg,0.082 mg,0 mg,1.64 mg,10.9 µg,1.28 mg,221 mg
Whole Wheat Pita,Mediterranean,100 g/1 hectogram,18413,1100761,Survey (FNDDS),262 kcal,9.8 g,6.1 g,35 µg,15 mg,55.9 g,3.06 mg,69 mg,2.84 mg,180 mg,170 mg,0.08 mg,0.339 mg,0 µg,0 µg,0.265 mg,0 mg,0.61 mg,1.4 µg,1.52 mg,421 mg
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Black Peas,Forbidden Rice and Escabeche Bear Fit Bowl,100 g/1 hectogram,16057,1992697,Washington Beef Inc.,165 kcal,7.18 g,6 g,184 µg,23 mg,19.3 g,2.34 mg,49 mg,0.437 mg,145 mg,595 mg,0.049 mg,0.178 mg,1 µg,0 µg,0.088 mg,0.4 mg,1.02 mg,9.2 µg,1.2 mg,220 mg
Black Pepper,Forbidden Rice and Escabeche Bear Fit Bowl,100 g/1 hectogram,1002030,170931," Finlay Extracts & Ingredients USA, Inc. ",251 kcal,10.4 g,25.3 g,17 µg,443 mg,64 g,9.71 mg,171 mg,1.14 mg,158 mg,1330 mg,0.18 mg,0.108 mg,27 µg,0 µg,0.192 mg,0 mg,1.04 mg,164 µg,1.19 mg,20 mg
